id;publication_type;authors;year;title;editors;journal_book_conf;volume;issue;pages;publisher;doi;isbn;citations;notes;peer_reviewed;exclude;study_samples;study_type;study_setting;smarthome;technology;scale_origin;scale_number;scale_number_new;reliability_alpha_studypaper;reliability_alpha_studypaper_new;reliability_composite_studypaper;reliability_other_studypaper;validity_information_studypaper;as_outcome_variable;cause_variables;cause_variables_new;cause_variables_theory;cause_variables_theory_other;cause_variables_theory_certainty;as_cause_variable;outcome_variables;outcome_variables_new;outcome_variables_theory;intervention;intervention_description;intervention_description_new;sample_size;sample_size_new;sample_age;sample_age_new;sample_sex;sample_sex_male;sample_sex_female;sample_sex_nonbinary;sample_sex_noresponse;sample_profession;sample_profession_new;sample_recruitment;sample_country
36;2;Alshboul et al.;2017;Beyond Cybersecurity Awareness: Antecedents and Satisfaction;NA;2017 International Conference on Software and e-Business (ICSEB);NA;NA;85-91;Hong Kong, Hong Kong;10.1145/3178212.3178218;NA;5 (google scholar, 05.7.21);NA;0;1;NA;2;0;0;"not_specified; workplace_IT";1;4;57;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;awareness of information security policies;awareness;other;0;NA;NA;236;236;NA;NA;NA;NA;NA;NA;NA;university employees;university staff;2;USA
42;0;Anwar et al.;2017;Gender difference and employees' cybersecurity behaviors;NA;Computers in Human Behavior;69;NA;437–443;NA;10.1016/j.chb.2016.12.040;NA;133 (google scholar, 12.4.21);NA;1;1;NA;2;0;0;"not_specified; computer";1;IB:7 vs NB:5;7;NA;NA;NA;NA;NA;1;"computer skills; experience with cyber security practice";"expertise; experience";"mastery; mastery";NA;0;1;self-reportes cyber security behavior;security behavior;behavior;0;NA;NA;481;481;"23%: 18-20; 42%: 21-30; 16%: 31-40; 11%: 41-50; 8% >=50";30,1650000000000;"34% male; 66% female";34,00;66,00;NA;NA;employees;employees;1;USA
43;4;Arachchilage;2016;Serious Games for Cyber Security Education;NA;NA;NA;NA;NA;LAP LAMBERT, Academic Publishing;NA;978-3659853180;4 (google scholar, 12.4.21);main study;2;1;A;2;1;0;mobile_device;1;4;109;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;avoidance motivation;avoidance motivation;motivation;0;NA;NA;151;151;range: 18-25;21,5000000000000;"67% male; 33% female";67,00;33,00;NA;NA;students;students;2;UK
43;4;Arachchilage;2016;Serious Games for Cyber Security Education;NA;NA;NA;NA;NA;LAP LAMBERT, Academic Publishing;NA;978-3659853180;4 (google scholar, 12.4.21);think-aloud study (game design);2;1;B;1;1;0;mobile_device;1;5;110;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;1;The game is designed to randomly generate worms associate with URLs. The small fish (the game player) is presented a worm each time associated with a different URL. The URL can b either phishing or legitimate. When the user moves from the beginning to the end of the game, the complexity of URLs is dramatically increased. This helps the user to gain the conceptual knowledge of identifying URLs. Therefore, self-efficacy of preventing from phishing attacks will be addressed in the game design.;game to identify phishing URLs: fish is presented an URL-worm (either phishing or legitimate) with increasing URL-complexity;20;20;range: 18-25;21,5000000000000;"65% male; 35% female";65,00;35,00;NA;NA;students;students;2;UK
56;5;Aurigemma;2013;From the weakest link to the best defense: Exploring the factors that affect employee intention to comply with information security policies;NA;Doctor of Philosophy in Communication and Information Sciences;NA;NA;NA;ProQuest LLC;NA;978-1-303-31317-2;9 (google scholar, 05.7.21);Not sub-samples, but different scales: General ISP;2;1;A;2;3;0;"not_specified; workplace_IT";1;5A;12C;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;"perceived behavioral control (regarding General information security policy); perceived behavioral control (regarding removable flashmedia); perceived behavioral control (regarding tailgaiting threats); intention to comply with information security policy (regarding phishing threat)";"behavioral control; behavioral control; behavioral control; compliance intention";"control; control; control; intention";0;NA;NA;239;239;NA;NA;9% female;91,00;9,00;NA;NA;department of defense employees;department of defense employees;2;USA
61;0;Ayaburi et al.;2019;Antecedents and Outcome of Deficient Self-Regulation in Unknown Wireless Networks Use Context: An Exploratory Study;NA;Information Systems Frontiers;21;6;1213–1229;NA;10.1007/s10796-019-09942-w;NA;3 (google scholar, 12.4.21);NA;1;1;NA;2;0;0;mobile_device;1;6;111;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;self-regulation;self-regulation;other;0;NA;NA;476;476;"range: 25-35; <25: 19.7% (94), 25-35: 52.9% (252), 36-45: 15.5% (74), >45: 11.8% (56)";36,1745000000000;"63% male; 37% female";63,00;37,00;NA;NA;NA;NA;0;NA
62;2;Fatokun et al.;2020;Relating Factors of Tertiary Institution Students’ Cybersecurity Behavior;NA;2020 International Conference in Mathematics, Computer Engineering and Computer Science (ICMCECS);NA;NA;1-6.;Aayoba, Nigeria;10.1109/ICMCECS47690.2020.246990;NA;0 (Google Scholar, 14.05.21);NA;1;1;NA;2;0;0;not_specified;1;6;58;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;cyber security behavior;security behavior;behavior;0;NA;NA;450;450;"17-20: 36 (8.3%)
21-30: 251 (57.7%)
31-40: 113 (26.0%)
Above 40: 35 (8.0%)";29,4790000000000;male 180 (41.4%), female 255 (58.6%);41,40;58,60;NA;NA;students;students;3;Malaysia
79;0;Belanger et al.;2019;Dealing with digital traces: Understanding protective behaviors on mobile devices;NA;The Journal of Strategic Information Systems;28;1;34–49;NA;10.1016/j.jsis.2018.11.002;NA;27 (google scholar, 12.4.21);other study samples were part of the paper, but not relevant for this review;1;1;E;2;0;0;smartphone;1;IB:8 vs NB:10;8;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;mobile information protection intention;protection intention;intention;0;NA;NA;228;228;"18-20: 4.41%; 21-24: 22.03%; 25-34: 44.49%; 35-44: 16.3%; 45-54: 7.49%; 55-64: 2.64%; 65-74: 2.64%";40,2969500000000;"51.33% male; 48.67 female";51,33;48,67;NA;NA;NA;NA;3;USA
81;0;Beldad;2016;Sealing One's Online Wall Off From Outsiders: Determinants of the Use of Facebook's Privacy Settings among Young Dutch Users;NA;International Journal of Technology and Human Interaction;12;1;21–34;NA;10.4018/ijthi.2016010102;NA;9 (google scholar, 26.4.21);NA;1;1;NA;2;1;0;"not_specified; facebook";1;7;112;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;use of Facebook's privacy settings;use behavior;behavior;0;NA;NA;295;295;"16-17: 32.9%; 18-19: 40.3%; 20-21: 21.7%; 22-23: 5.1%";18,4800000000000;"43.4% male; 56.3% female";43,40;56,30;NA;NA;students;students;2;Netherlands
82;2;Bell et al.;2015;Developing and Piloting a Quantitative Assessment Tool for Cybersecurity Courses;NA;122nd ASEE Annual Conference and Exposition: Making Value for Society;NA;NA;1-13.;Seattle, WA, USA;NA;NA;8 (Google Scholar, 14.05.21);NA;1;1;NA;3;1;0;not_specified;1;7;59;NA;NA;NA;NA;NA;1;cyber security course;training;mastery, vicarious experience, persuasion;NA;1;0;NA;NA;NA;0;NA;NA;"CS1: pre 93, post 74; Cyber Defense: pre 11, post 9; Advanced: pre 5, post 6; Intro Sec: pre 30, post 21";110;NA;NA;NA;NA;NA;NA;NA;students;students;2;USA
83;2;Bell et al.;2014;A longitudinal study of students in an introductory cybersecurity course;NA;121st ASEE Annual Conference & Exposition;NA;NA;NA;Indianapolis, IN, USA;NA;NA;11 (google scholar, 9.6.21);NA;1;1;NA;3;1;0;not_specified;1;8;113;NA;NA;NA;NA;NA;1;introductory cybersecurity course;training;mastery, vicarious experience, persuasion;NA;1;0;NA;NA;NA;0;NA;NA;12;12;NA;NA;10 male, 2 female;83,33;16,67;NA;NA;students;students;2;USA
86;2;Berthevas;2018;Students' computers safety behaviors, under effects of cognition and socialization: When gender and job experience influence information security behaviors;NA;2018 IEEE International Conference on Technology Management, Operations and Decisions (Ictmod);NA;NA;244–251;Marrakech, Morocco;NA;NA;1 (google scholar, 12.4.21);NA;1;1;NA;2;NA;0;not_specified;1;IB:9 vs NB:12;9;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;protection motivation theory (behavioral intention);protection intention;intention;0;NA;NA;430;430;"18-20: 45.6%; 21-25: 47.2%; 26-30: 4.2%; >31: 3%";22,0610000000000;"43.3% male; 56.7% female";43,30;56,70;NA;NA;students;students;2;France
87;5;Beugré;2019;Perceived behaviors and security compliance intention of employees processing big data: A correlational study;NA;Doctor of Philosophy;NA;NA;NA;ProQuest LLC;NA;978-1392680988;0 (google scholar, 05.7.21);Originalskala: Herath et al. (2009);2;1;NA;2;0;0;"not_specified; workplace_IT";0;8;60;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;security compliance intention;compliance intention;intention;0;NA;NA;169;169;"27-36: 112 (66%)
37-46: 45 (27%)
47-56: 10 (6%)
57 or older: 2 (1%)";35,6700000000000;male 104 (62%), female 65 (38%);62,00;38,00;NA;NA;IT professionals specialized in big data;IT professionals;0;USA
94;0;Blythe et al.;2018;Costly but effective: Comparing the factors that influence employee anti-malware behaviours;NA;Computers in Human Behavior;87;NA;87-97;Elsevier;10.1016/j.chb.2018.05.023;NA;32 (google scholar, 05.7.21);"Not sub-samples, but different scales: A:  anti-malware software, B: email security, C: software updates; participants could only complete scale 9a/9b/9c if their organisational imformation security policy would allowed them to show the different behaviors (use USB sticks, email, update software, access anti-malware) so that samples for 9a/9b/9c had different sample sizes and varying overlaps in participants; 
total sample (size: 526 participants, age: mean 35.52 (SD=12.22), sex: 38 % male; 61% female; 1% NA)";1;1;A;2;0;0;"not_specified; workplace_IT";1;9A;61A;NA;NA;NA;NA;NA;1;experience;experience;mastery, emotional arousal;NA;1;1;"intention to perform anti-malware behavior (using anti-malware software to scan USB sticks for malware); intention to perform anti-malware behavior (not clicking on links in suspicious emails); intention to perform anti-malware behavior (installing software updates when prompted)";"protection intention; security intention; protection intention";"intention; intention; intention";0;NA;NA;324;324;NA;NA;NA;NA;NA;NA;NA;employees;employees;1;UK
95;0;Bojmaeh;2015;Mediating role of Information System Security Awareness in the relationship between Self-Efficacy, Security Practice and Information System Security Behavior;NA;International Journal of Science and Engineering Applications;4;6;361–365;NA;NA;NA;1 (google scholar, 8.6.21);original scale Karamizadeh et al. (2013);1;1;NA;2;NA;0;not_specified;0;IB:10 vs NB:Karamizadeh et al. (2013);10;NA;NA;NA;excellent or good internal consistency;NA;0;NA;NA;NA;NA;NA;1;"information security awareness (intention to practice IT security); information security behavior";"awareness; security behavior";"other; behavior";0;NA;NA;230;230;NA;NA;NA;NA;NA;NA;NA;ICT department employees of universities;university staff;2;Iran
98;2;Booth et al.;2019;The Privacy Paradox in HCI: Calculus Behavior in Disclosing PII Online;Nah et al.;6th International Conference, HCI in Business, Government and Organizations 2019;NA;NA;163–177;Orlando, FL, USA;10.1007/978-3-030-22338-0_13;NA;3 (google scholar, 26.4.21);NA;0;1;NA;2;NA;0;not_specified;1;IB:11 vs NB:5;11;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;intention to disclose personal information;disclosure intention;intention;0;NA;NA;67;67;"majority 18-25 (n=64); range 18-40";22,0175000000000;2/3 (n = 47) male;70,15;29,85;NA;NA;students;students;2;USA
99;5;Booth;2019;Tipping the balance in privacy calculus: The roles of perceived trustworthiness, uncertainty, and cyber self-efficacy in an online user’s intention to disclose PII;NA;Doctor of Philosophy;NA;NA;NA;Tallahassee, FL, USA;NA;978-1392462669;0 (google scholar, 12.4.21);perceived behavioral control not included as measure for self-efficacy due to research model figure;2;1;NA;0;0;0;"not_specified; social_network";1;9;114;NA;NA;NA;NA;NA;1;cyber privacy awareness message;awareness campaign;vicarious experience;NA;0;1;intention to disclose personally identifiable information;disclosure intention;intention;1;"intervention consisting of randomly presented pairs of cyber privacy awareness messages; relied on the literature around perceived trustworthiness and
uncertainty of control (as part of privacy concern) to craft cyber privacy awareness messages
that, I submit, are reasonably calculated to either increase or decrease an individual’s level of
perceived trustworthiness, on the one hand, and to either increase or decrease their perception of
uncertainty on the other; objective of each cyber privacy awareness message was to present the participant-Online User
with scenarios drafted such that they could easily imagine that “this could be me.”; The full text of the cyber privacy awareness message corresponding to each
condition is presented in Table 2; UCOI conditions, set forth in Table 3";exposure to cyber privacy risk awareness messages: levels of perceived trustworthiness (increased vs. decreased) and levels perception of uncertainty (increased vs. decreased);201;201;"18-20: 49.74%; 21-25: 45.55%; 26-30: 3.66%; 41-45: 0.52%; 50+: 0.52%; 11 = NA";21,0158496000000;"47.64% male; 50.79% female; 1.05% chose not to identify; 0.52% nonbinary";47,64;50,79;0,52;1,05;NA;NA;1;USA
111;0;Bulgurcu et al.;2010;Information security policy compliance: An empirical study of rationality-based beliefs and information security awareness;NA;Mis Quarterly;34;3;523–548;NA;NA;NA;1980 (google scholar, 26.4.21);NA;1;1;NA;2;0;0;not_specified;1;IB:12 vs NB:6;12A;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;intention to comply with information security policies;compliance intention;intention;0;NA;NA;464;464;"20-25: 2%; 26-35: 34%; 36-45: 36%; 46-55: 20%; 56-65: 7%; 66-75: 0%; 76-85: 1%";40,5400000000000;"48% male; 52% female";48,00;52,00;NA;NA;employees;employees;0;USA
116;0;Carruth et al.;2017;Social networking and privacy attitudes among college students;NA;Psychology Society & Education;6;2;82-93;NA;10.25115/psye.v6i2.510;NA;11 (google scholar, 05.7.21);NA;1;1;NA;2;1;0;"not_specified; facebook";1;10;62;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;specific concerns about Facebook social media privacy;concerns;other;0;NA;NA;284;284;M = 25 (sd =1.799);25,0000000000000;male 68 (23.9%), female 216 (76.1%);23,90;76,10;NA;NA;students;students;2;USA
123;0;Cavus et al.;2016;The scale for the self‐efficacy and perceptions in the safe use of the Internet for teachers: The validity and reliability studies;NA;British Journal of Educational Technology;47;1;76-90;NA;10.1111/bjet.12217;NA;14 (google scholar, 8.6.21);NA;1;1;NA;2;NA;0;"not_specified; computer";1;IB:13 vs NB:;13;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;0;NA;NA;170;170;"mean 28; range 22-59";28,0000000000000;"47.65% male; 52.35% female";47,65;52,35;NA;NA;college teachers;university staff;2;Cyprus
124;2;Cavus et al.;2017;Scale for Efficacy in the Safe Use of the Internet for Students;NA;New Trends and Issues Proceedings on Humanities and Social Sciences;NA;3;227–234;Online;10.18844/gjhss.v3i3.1557;NA;2 (google scholar, 12.4.21);"Original scale: refer to Cavus (2014), but is Cavus (2016, paper ID 123); i.e., original scale present and not recoded in Codebook 2";0;1;NA;2;NA;0;"not_specified; computer";0;IB:13 vs NB:16;13;0.72;0.72;NA;NA;NA;1;"gender; age";"gender; age";"other; other";"demographics; demographics";0;0;NA;NA;NA;0;NA;NA;99;99;"18-20: 25.25%; 21-23: 34.35%; 24-26: 21.21%; +27: 19.19%";26,0046500000000;"54.46% male; 45.45% female";54,46;45,45;NA;NA;students;students;2;Cyprus
128;0;Chen et al.;2021;E-waste information security protection motivation: the role of optimism bias;NA;Information Technology and People;NA;NA;NA;NA;10.1108/itp-09-2019-0458;NA;0 (google scholar, 05.7.21);"a: pilot sample (not included); b: study sample";1;1;B;2;0;0;smartphone;1;11;63;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;intention to protect information security in E-waste;protection intention;intention;0;NA;NA;348;348;"20 and younger: 7 (2.0%)
21–30: 170 (48.9%)
31–40: 117 (33.6%)
41–50: 32 (9.2%)
51 and older: 22 (6.3%)";32,4600000000000;male 164 (47.1%), female 184 (52.9%);47,10;52,90;NA;NA;NA;NA;0;China
129;0;Chen;2018;Revisiting the Privacy Paradox on Social Media With an Extended Privacy Calculus Model: The Effect of Privacy Concerns, Privacy Self-Efficacy, and Social Capital on Privacy Management;NA;American Behavioral Scientist;62;10;1392-1412;NA;10.1177/0002764218792691;NA;48 (google scholar, 05.7.21);Hong Kong sample (wave 1);1;1;A;2;0;0;"not_specified; social_network";1;12A;64A;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;"limiting profile visibility; self-disclosure; friending";"profile visibility; disclosure behavior; friending";"behavior; behavior; behavior";0;NA;NA;1141;1141;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;Hongkong
129;0;Chen;2018;Revisiting the Privacy Paradox on Social Media With an Extended Privacy Calculus Model: The Effect of Privacy Concerns, Privacy Self-Efficacy, and Social Capital on Privacy Management;NA;American Behavioral Scientist;62;10;1392-1412;NA;10.1177/0002764218792691;NA;48 (google scholar, 05.7.21);USA sample;1;1;B;2;0;0;"not_specified; social_network";1;12B;64B;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;"limiting profile visibility; self-disclosure; friending";"profile visibility; disclosure behavior; friending";"behavior; behavior; behavior";0;NA;NA;1131;1131;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;USA
130;0;Chen et al.;2015;Couldn't or Wouldn't? The Influence of Privacy Concerns and Self-Efficacy in Privacy Management on Privacy Protection;NA;Cyberpsychology Behavior and Social Networking;18;1;13-19;NA;10.1089/cyber.2014.0456;NA;105 (google scholar, 05.7.21);NA;1;1;NA;2;0;0;"not_specified; social_network";1;13;65;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;1;"limiting profile visibility; self-disclosure; friending";"profile visibility; disclosure behavior; friending";"behavior; behavior; behavior";0;NA;NA;515;515;NA;NA;50% of each;50,00;50,00;NA;NA;students;students;2;USA
133;2;Chen et al.;2020;Hacked Time: Design and Evaluation of a Self-Efficacy Based Cybersecurity Game;NA;2020 ACM Designing Interactive Systems Conference (DIS);NA;NA;1737–1749;Eindhoven, Netherlands;10.1145/3357236.3395522;NA;0 (ACM digital library, 12.4.21);NA;0;1;NA;0;0;0;"not_specified; computer";1;10;115;NA;NA;NA;NA;NA;1;"playing game; reading information on cybersecurity";"gaming; reading information";"mastery, vicarious experience; persuasion";NA;1;0;NA;NA;NA;1;play self-developed game Hacked Time, a desktop game that uses an integrative approach that incorporates Bandura’s self-efficacy design framework to improve player self-efficacy.;game to promote improved cybersecurity practices by increasing self-efficacy: time-traveling detective who helps a college student deal with a security breach;178;178;"18-24: 10; 25-34: 74; 35-44: 56; 45-54: 20; 55-64: 14; 65+: 4";37,6292134831461;"100 male; 77 female; 1 not disclosed";56,18;43,26;NA;0,56;NA;NA;0;USA
